Age,Income,Year_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Previous,Complain,ChildrenHome,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Response
65,65486.0,7.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,1,0,0,1,0,0,0,0,1,0,0
47,49514.0,8.0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,1,1,0,0,0,0,0,0,1,0,0
41,58684.0,7.0,71,479,35,179,28,7,85,1,5,3,12,2,1,0,0,0,0,1,0,0,0,0,1,0,0
67,62535.0,9.0,13,163,48,90,0,45,52,1,3,2,8,3,0,0,1,0,0,1,0,0,0,0,1,0,0
49,7500.0,8.0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,1,0,0,1,0,0,0,0,1,0,0
29,74293.0,8.0,66,375,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,1,0,0,0,0,1,0,0
70,75127.0,7.0,92,203,35,305,46,17,227,1,2,11,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0
66,54342.0,9.0,74,84,10,34,11,10,28,4,3,1,4,6,0,0,2,1,0,0,0,0,0,0,0,1,0
33,30279.0,9.0,13,10,4,14,4,4,1,1,1,0,3,8,0,0,1,0,0,1,0,0,0,0,1,0,0
47,54730.0,8.0,64,318,3,17,4,7,56,5,4,1,8,4,0,0,1,0,0,0,1,0,0,1,0,0,0
43,62499.0,8.0,0,140,4,61,0,13,4,2,3,1,6,4,0,0,1,0,0,0,1,0,0,0,0,1,0
46,36283.0,7.0,42,6,5,5,8,0,5,2,1,0,3,4,0,0,2,0,0,1,0,0,0,0,0,1,0
49,79593.0,7.0,70,350,60,568,110,133,145,1,5,6,7,2,1,0,0,0,0,1,0,0,0,1,0,0,0
52,80336.0,8.0,12,209,19,456,160,142,66,1,2,9,13,1,0,0,0,0,0,0,0,1,0,1,0,0,0
44,64813.0,8.0,81,293,0,124,179,97,52,1,7,2,10,5,0,0,1,0,0,1,0,0,0,1,0,0,0
59,48918.0,7.0,21,52,0,9,0,0,1,2,1,0,4,4,0,0,2,0,0,0,0,1,0,0,1,0,0
34,20518.0,7.0,58,4,1,6,4,1,9,1,1,1,2,5,0,0,1,0,0,1,0,0,0,0,1,0,0
58,69932.0,8.0,97,412,172,153,150,105,57,2,7,6,11,4,0,0,1,0,0,1,0,0,1,0,0,0,0
52,65968.0,7.0,12,376,9,83,19,4,4,2,5,4,7,3,0,0,1,0,0,0,0,1,0,0,0,1,0
44,37717.0,9.0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,1,0,0,0,0,1,0,1,0,0,0
57,44393.0,8.0,86,24,2,20,2,2,10,2,1,0,4,4,0,0,2,0,0,1,0,0,0,1,0,0,0
63,61250.0,9.0,49,382,138,65,60,26,59,6,5,2,12,5,0,0,1,0,0,1,0,0,1,0,0,0,0
68,46344.0,7.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,2,0,0,1,0,0,0,0,1,0,0
51,32892.0,7.0,78,26,0,15,2,1,2,2,3,0,3,8,0,0,1,0,0,0,0,1,0,0,0,1,0
54,34916.0,8.0,89,51,23,82,33,0,42,4,5,1,3,9,0,0,2,0,0,1,0,0,0,0,0,1,0
53,79734.0,7.0,72,572,8,232,23,62,17,1,4,3,6,1,1,0,0,0,0,0,1,0,0,1,0,0,0
56,61286.0,9.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,1,0,0,1,0,0,0,1,0,0,0
51,49269.0,9.0,92,639,8,166,11,8,58,3,7,3,12,7,0,0,1,0,0,0,0,1,0,0,0,1,0
33,59060.0,7.0,77,35,40,111,36,40,12,3,3,1,7,4,0,0,1,1,0,0,0,0,0,1,0,0,0
68,60033.0,8.0,28,62,1,57,19,11,48,2,2,1,5,2,0,0,1,0,0,0,1,0,0,0,0,1,0
63,18690.0,9.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0
55,66825.0,8.0,73,243,101,405,29,40,40,1,4,5,6,2,0,0,0,0,0,1,0,0,0,0,0,1,0
54,29543.0,8.0,47,17,3,18,3,4,18,2,3,1,2,7,0,0,2,0,0,0,1,0,0,1,0,0,0
36,25252.0,8.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,1,0,0,1,0,0,0,1,0,0,0
43,17688.0,9.0,82,2,2,1,3,1,2,1,1,0,2,8,0,1,1,0,0,1,0,0,0,1,0,0,0
39,43776.0,8.0,77,8,0,9,2,1,3,1,1,0,2,6,0,0,1,0,0,1,0,0,0,0,0,1,0
70,62998.0,8.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,1,0,0,1,0,0,0,1,0,0,0
71,70792.0,8.0,82,344,45,654,104,11,114,2,3,4,10,3,0,0,0,0,0,1,0,0,0,0,1,0,0
49,31163.0,8.0,54,2,3,10,11,2,10,1,1,0,3,6,0,0,1,1,0,0,0,0,1,0,0,0,0
57,35791.0,8.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,3,0,0,0,1,0,0,0,1,0,0
70,8820.0,9.0,52,12,0,13,4,2,4,4,3,0,3,8,0,0,2,0,0,0,1,0,0,0,1,0,0
40,6560.0,8.0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,1,0,0,0,1,0,0
67,59821.0,8.0,11,629,0,70,0,0,35,6,11,2,7,8,0,0,1,0,0,0,0,1,0,1,0,0,0
46,162397.0,9.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0
41,44953.0,9.0,31,728,17,133,11,8,124,1,7,3,13,6,1,0,0,0,0,0,0,1,0,0,0,1,0
46,49544.0,8.0,0,308,0,73,0,0,23,2,5,1,8,7,0,0,1,0,0,0,0,1,0,1,0,0,0
44,17345.0,10.0,79,4,9,16,17,0,12,2,2,1,2,8,0,0,1,0,0,1,0,0,0,1,0,0,0
43,20194.0,9.0,64,0,4,7,11,10,15,2,2,0,3,6,0,0,1,0,1,0,0,0,0,0,1,0,0
57,52117.0,9.0,55,112,10,107,30,0,20,2,5,2,4,7,0,0,1,0,0,1,0,0,0,0,0,1,0
67,59925.0,9.0,83,473,21,176,19,21,56,3,9,2,9,6,0,0,1,0,0,1,0,0,0,0,0,1,0
67,38946.0,8.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,1,0,0,1,0,0,0,0,0,1,0
48,45207.0,9.0,64,203,0,10,0,0,2,5,3,1,6,6,1,0,2,0,0,0,0,1,0,1,0,0,0
40,79908.0,8.0,30,557,129,761,29,185,111,1,5,6,7,2,1,0,0,0,0,1,0,0,0,1,0,0,0
49,57906.0,8.0,29,243,11,119,10,3,15,3,4,2,8,4,0,0,1,0,0,0,0,1,0,0,0,1,0
45,41443.0,8.0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,1,0,0,1,0,0,0,1,0,0,0
68,62820.0,8.0,51,398,61,265,138,61,53,1,3,4,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0
67,67225.0,8.0,4,315,35,322,46,7,143,3,7,2,11,5,0,0,1,0,0,1,0,0,0,1,0,0,0
63,18690.0,9.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0
52,40548.0,9.0,31,110,0,5,2,0,3,2,2,1,4,5,1,0,1,0,0,1,0,0,0,0,0,1,0
33,9255.0,8.0,91,9,0,7,2,0,4,1,1,1,2,8,0,0,1,0,0,1,0,0,0,0,1,0,0
47,47808.0,8.0,30,123,1,26,2,0,72,2,3,2,3,7,1,0,1,0,0,0,1,0,0,1,0,0,0
42,47850.0,9.0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,1,0,0,1,0,0,0,1,0,0,0
34,41883.0,9.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,1,0,0,1,0,0,0,0,0,1,0
47,30801.0,9.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,1,0,1,0,0,0,0,1,0,0,0
66,62503.0,9.0,40,478,0,193,110,75,117,4,8,3,11,5,0,0,1,0,0,1,0,0,0,1,0,0,0
64,65488.0,7.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,1,0,0,0,1,0
50,41644.0,7.0,67,20,3,4,2,0,2,2,1,0,3,3,0,0,2,0,0,0,0,1,0,0,1,0,0
56,80398.0,9.0,92,342,51,936,207,35,26,1,5,8,12,3,1,0,0,0,0,1,0,0,0,1,0,0,0
75,66000.0,7.0,36,244,51,270,101,0,45,1,1,3,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0
52,67419.0,9.0,29,846,84,352,91,56,42,4,9,4,8,5,0,0,1,0,0,1,0,0,0,0,0,1,0
46,29478.0,8.0,59,8,0,7,3,1,1,1,1,0,3,6,0,0,1,0,0,1,0,0,0,0,0,1,0
49,42429.0,7.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,1,0,0,1,0,0,0,0,1,0,0
47,40233.0,8.0,84,80,4,46,0,17,2,5,2,1,5,6,0,0,1,0,0,0,0,1,0,1,0,0,0
54,50616.0,7.0,56,128,0,16,0,1,4,2,4,0,4,7,0,0,1,0,0,0,0,1,1,0,0,0,0
40,24367.0,9.0,58,2,4,2,0,11,5,1,1,0,2,9,0,0,1,0,1,0,0,0,0,0,1,0,0
44,28442.0,8.0,53,19,3,10,11,8,6,3,2,1,4,4,0,0,2,0,0,1,0,0,0,1,0,0,0
35,7500.0,8.0,94,0,2,3,4,1,5,1,0,0,3,6,0,0,0,0,0,1,0,0,0,1,0,0,0
68,59111.0,9.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,1,0,0,0,1,0,0,0
53,62772.0,8.0,74,581,49,157,43,8,108,1,5,6,11,2,1,0,1,0,0,0,1,0,0,0,1,0,0
63,59052.0,8.0,29,230,35,75,63,57,31,3,7,1,7,5,0,0,1,1,0,0,0,0,1,0,0,0,0
69,61278.0,8.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,1,0,0,1,0,0,0,0,0,1,0
73,58607.0,9.0,63,867,0,86,0,0,19,3,2,3,9,8,1,0,1,0,0,0,0,1,0,1,0,0,0
43,24401.0,9.0,98,73,28,217,10,24,115,3,6,1,6,8,0,0,0,0,0,0,1,0,0,0,0,1,0
43,77298.0,9.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,1,0,0,1,0,0,0,0,0,1,0
44,42554.0,8.0,93,29,1,11,0,0,0,2,2,0,3,4,0,0,2,0,0,1,0,0,0,0,0,1,0
66,77376.0,7.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,2,0,0,0,0,1,0,0,0,1,0
37,7500.0,10.0,98,5,17,17,13,14,34,4,2,1,3,9,0,0,1,1,0,0,0,0,0,0,0,1,0
70,40049.0,8.0,23,13,6,7,0,3,3,1,1,0,3,6,0,0,1,0,0,1,0,0,0,0,1,0,0
40,18492.0,7.0,75,2,2,2,2,1,1,1,1,0,2,8,0,0,1,0,0,0,1,0,0,0,0,1,0
56,7144.0,8.0,92,81,4,33,5,2,291,0,23,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0
47,46098.0,9.0,86,57,0,27,0,0,36,4,3,2,2,8,0,0,2,0,0,0,1,0,0,0,1,0,0
52,61872.0,8.0,81,330,5,159,36,27,16,4,4,4,9,4,0,0,1,0,0,0,1,0,0,1,0,0,0
67,38452.0,8.0,62,56,0,14,0,0,2,3,3,0,3,7,0,0,2,0,0,0,1,0,0,1,0,0,0
51,65808.0,7.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,2,0,0,0,0,1,1,0,0,0,0
60,42769.0,8.0,15,71,0,13,3,1,0,2,1,1,4,4,0,0,1,0,0,0,0,1,0,1,0,0,0
71,71107.0,9.0,61,533,10,217,198,174,195,2,7,6,13,4,0,0,1,0,0,1,0,0,0,1,0,0,0
71,59385.0,8.0,85,135,0,10,0,4,36,2,3,1,4,5,0,0,2,0,0,0,1,0,0,0,0,1,0
70,54549.0,8.0,8,216,2,6,0,0,9,2,5,1,4,7,0,0,1,0,0,0,0,1,0,1,0,0,0
32,18351.0,8.0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,1,0,0,0,1,0,0,0
51,64722.0,7.0,47,303,0,280,60,147,15,4,8,2,11,6,0,0,1,0,0,1,0,0,0,1,0,0,0
69,40464.0,8.0,78,424,17,118,7,23,41,6,8,2,8,8,0,0,1,0,0,1,0,0,0,0,1,0,0
55,27943.0,8.0,89,12,1,16,4,1,3,3,2,0,3,8,0,0,2,0,0,1,0,0,0,0,0,1,0
70,70545.0,8.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,1,0,0,0,1,0,0,0,0,1,0
57,62694.0,8.0,29,379,6,157,25,91,91,5,9,3,7,7,0,0,2,0,0,0,1,0,0,1,0,0,0
61,74881.0,8.0,48,505,72,270,36,27,54,4,9,2,12,5,0,0,2,0,0,0,1,0,0,0,0,1,0
45,59601.0,8.0,14,691,7,69,0,7,23,4,2,2,7,8,1,0,1,1,0,0,0,0,1,0,0,0,0
37,29760.0,9.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,1,0,0,1,0,0,0,0,1,0,0
63,18690.0,9.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,1,0,0,0,1,0,0,0
50,59868.0,8.0,37,771,51,154,54,10,154,7,11,2,12,6,0,0,1,0,0,1,0,0,0,0,0,1,0
48,42373.0,8.0,83,67,5,61,3,8,19,5,2,1,5,5,0,0,2,0,0,1,0,0,0,0,1,0,0
44,47025.0,8.0,98,508,11,59,23,5,29,5,11,1,6,9,0,0,1,1,0,0,0,0,0,1,0,0,0
54,58554.0,9.0,55,368,24,68,38,0,88,6,8,2,6,7,0,0,2,0,0,1,0,0,0,0,0,1,0
46,65665.0,9.0,77,225,162,387,106,36,29,1,5,10,8,3,0,0,1,0,0,1,0,0,0,1,0,0,0
51,36230.0,8.0,17,14,2,30,8,2,3,1,2,0,4,5,0,0,1,0,0,0,1,0,0,0,1,0,0
46,37697.0,7.0,82,34,6,21,11,4,8,1,2,1,3,6,0,0,1,0,0,1,0,0,0,0,1,0,0
43,27244.0,7.0,84,6,5,17,3,24,46,2,2,2,2,7,0,0,1,0,0,1,0,0,0,1,0,0,0
58,41638.0,9.0,68,315,0,31,4,0,91,4,5,5,3,8,1,0,1,0,0,1,0,0,1,0,0,0,0
67,38946.0,8.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,1,0,0,1,0,0,0,0,0,1,0
57,66294.0,8.0,68,251,108,334,65,92,117,1,4,3,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0
76,68657.0,9.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,1,0,0,1,0,0,0
72,27203.0,9.0,92,13,2,21,4,0,24,2,1,1,2,8,0,0,2,0,0,1,0,0,0,0,0,1,0
67,65748.0,8.0,58,172,73,93,95,78,34,2,2,4,10,1,0,1,1,0,0,1,0,0,0,0,0,1,0
54,63841.0,8.0,64,635,15,100,20,7,131,1,9,3,9,6,0,0,1,0,0,0,1,0,1,0,0,0,0
45,157146.0,8.0,13,1,0,1725,2,1,1,0,0,28,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
58,61798.0,8.0,13,338,4,89,11,8,13,1,4,2,9,4,0,0,0,0,0,0,0,1,0,0,1,0,0
64,51876.0,8.0,88,99,27,102,28,48,6,1,2,2,8,1,0,0,0,0,0,1,0,0,0,1,0,0,0
64,49572.0,8.0,25,35,1,16,0,1,1,2,2,0,3,7,0,0,2,0,0,0,1,0,0,1,0,0,0
40,58582.0,8.0,15,402,35,106,101,77,42,2,9,2,9,5,1,0,1,1,0,0,0,0,0,0,0,1,0
60,33419.0,8.0,76,56,0,12,0,0,18,2,2,0,4,7,0,0,1,0,0,0,0,1,0,0,1,0,0
43,40662.0,9.0,0,40,2,23,0,4,23,2,2,1,3,4,0,0,1,0,0,0,1,0,0,1,0,0,0
48,43018.0,9.0,46,35,4,17,7,6,64,1,2,2,2,5,0,0,1,0,0,0,1,0,0,0,0,1,0
61,36443.0,9.0,9,65,0,46,4,3,20,4,3,1,3,8,0,0,2,0,0,1,0,0,0,1,0,0,0
69,58398.0,8.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,1,0,0,0,0,0,1,0
43,24594.0,8.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,1,0,1,0,0,0,0,0,0,1,0
46,79689.0,8.0,65,311,26,640,180,37,121,1,4,9,13,2,0,0,0,1,0,0,0,0,0,0,1,0,0
48,33590.0,9.0,65,4,0,2,0,0,2,1,1,0,2,7,0,0,3,0,0,1,0,0,0,0,0,1,0
44,67023.0,8.0,93,444,44,382,11,8,17,1,3,7,13,2,0,1,0,0,0,1,0,0,0,1,0,0,0
41,42395.0,8.0,35,48,13,57,24,15,25,4,3,1,4,7,0,0,2,1,0,0,0,0,0,0,1,0,0
52,61209.0,8.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,1,0,0,0,0,1,0,0
51,71969.0,9.0,59,1000,0,76,0,0,10,3,3,4,9,8,1,0,1,0,0,0,0,1,0,1,0,0,0
58,55761.0,7.0,97,136,1,12,0,3,32,2,4,1,3,6,1,0,1,0,0,1,0,0,0,0,0,1,0
45,31056.0,9.0,99,5,10,13,3,8,16,1,1,0,3,8,0,0,1,1,0,0,0,0,0,1,0,0,0
56,65814.0,8.0,90,561,14,113,10,14,35,3,8,2,10,5,0,0,1,0,0,0,0,1,0,0,0,1,0
65,77297.0,9.0,84,408,61,109,48,122,41,1,5,7,9,4,1,0,0,1,0,0,0,0,1,0,0,0,0
51,56850.0,8.0,83,34,1,19,2,7,0,1,1,1,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0
49,79593.0,7.0,70,350,60,568,110,133,145,1,5,6,7,2,1,0,0,0,0,1,0,0,0,1,0,0,0
53,58917.0,9.0,10,151,7,89,0,7,28,5,4,1,6,5,0,0,3,0,0,1,0,0,0,0,0,1,0
129,60182.0,7.0,23,8,0,5,7,0,2,1,1,0,2,4,0,0,1,1,0,0,0,0,0,0,1,0,0
